method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_f1
topheavy_lora,distilbert-base-uncased,rte,1024,500,accuracy,0.5631768953068592,739586,1.0925332946813067,10.0,0.5631768953068592,0.8733519911766052,,0.5631768953068592,0.2434,1137.815,73.937,
topheavy_lora,distilbert-base-uncased,rte,123,500,accuracy,0.516245487364621,739586,1.0925332946813067,10.0,0.516245487364621,1.0264695882797241,,0.516245487364621,0.3101,893.302,58.048,
topheavy_lora,distilbert-base-uncased,rte,42,500,accuracy,0.5379061371841155,739586,1.0925332946813067,10.0,0.5379061371841155,1.0528607368469238,,0.5379061371841155,0.2705,1024.103,66.548,
topheavy_lora,distilbert-base-uncased,rte,456,500,accuracy,0.5776173285198556,739586,1.0925332946813067,10.0,0.5776173285198556,0.8522801995277405,,0.5776173285198556,0.2832,978.148,63.562,
topheavy_lora,distilbert-base-uncased,rte,789,500,accuracy,0.5270758122743683,739586,1.0925332946813067,10.0,0.5270758122743683,1.0160983800888062,,0.5270758122743683,0.192,1442.376,93.728,
bitfit,roberta-base,rte,1024,500,accuracy,0.5451263537906137,694274,0.5569913861662483,10.0,0.5451263537906137,0.7182880640029907,,0.5451263537906137,0.2324,1191.944,77.455,
bitfit,roberta-base,rte,123,500,accuracy,0.6064981949458483,694274,0.5569913861662483,10.0,0.6064981949458483,0.6965653896331787,,0.6064981949458483,0.2355,1176.4,76.445,
bitfit,roberta-base,rte,42,500,accuracy,0.5956678700361011,694274,0.5569913861662483,10.0,0.5956678700361011,0.7132493257522583,,0.5956678700361011,0.2165,1279.298,83.131,
bitfit,roberta-base,rte,456,500,accuracy,0.5884476534296029,694274,0.5569913861662483,10.0,0.5884476534296029,0.6830933690071106,,0.5884476534296029,0.213,1300.685,84.521,
bitfit,roberta-base,rte,789,500,accuracy,0.5703971119133574,694274,0.5569913861662483,10.0,0.5703971119133574,0.7360350489616394,,0.5703971119133574,0.251,1103.8,71.727,
full_ft,roberta-base,rte,1024,500,accuracy,0.4729241877256318,124647170,100.0,3.0,0.4729241877256318,0.6954305768013,,0.4729241877256318,0.2678,1034.209,67.205,
full_ft,roberta-base,rte,123,500,accuracy,0.6101083032490975,124647170,100.0,3.0,0.6101083032490975,0.6590690612792969,,0.6101083032490975,0.252,1099.078,71.42,
full_ft,roberta-base,rte,42,500,accuracy,0.5270758122743683,124647170,100.0,3.0,0.5270758122743683,0.6968813538551331,,0.5270758122743683,0.2162,1281.164,83.253,
full_ft,roberta-base,rte,456,500,accuracy,0.5776173285198556,124647170,100.0,3.0,0.5776173285198556,0.6721662878990173,,0.5776173285198556,0.2276,1216.931,79.079,
full_ft,roberta-base,rte,789,500,accuracy,0.5523465703971119,124647170,100.0,3.0,0.5523465703971119,0.6868552565574646,,0.5523465703971119,0.2625,1055.06,68.56,
gradaware_lora,roberta-base,rte,1024,500,accuracy,0.5884476534296029,887042,0.7066137476531099,10.0,0.5884476534296029,0.9345532655715942,,0.5884476534296029,0.2959,936.1,60.83,
gradaware_lora,roberta-base,rte,123,500,accuracy,0.5992779783393501,887042,0.7066137476531099,10.0,0.5992779783393501,0.8952754139900208,,0.5992779783393501,0.265,1045.355,67.929,
gradaware_lora,roberta-base,rte,42,500,accuracy,0.6498194945848376,887042,0.7066137476531099,10.0,0.6498194945848376,0.9493297934532166,,0.6498194945848376,0.2577,1074.756,69.84,
gradaware_lora,roberta-base,rte,456,500,accuracy,0.6534296028880866,887042,0.7066137476531099,10.0,0.6534296028880866,0.8365554213523865,,0.6534296028880866,0.2629,1053.656,68.469,
gradaware_lora,roberta-base,rte,789,500,accuracy,0.5776173285198556,887042,0.7066137476531099,10.0,0.5776173285198556,0.8904401659965515,,0.5776173285198556,0.2745,1009.12,65.575,
lora,roberta-base,rte,1024,500,accuracy,0.5812274368231047,887042,0.7066137476531099,10.0,0.5812274368231047,0.9361590147018433,,0.5812274368231047,0.2676,1035.307,67.276,
lora,roberta-base,rte,123,500,accuracy,0.6137184115523465,887042,0.7066137476531099,10.0,0.6137184115523465,0.9262953400611877,,0.6137184115523465,0.2564,1080.426,70.208,
lora,roberta-base,rte,42,500,accuracy,0.6389891696750902,887042,0.7066137476531099,10.0,0.6389891696750902,0.9095770120620728,,0.6389891696750902,0.2524,1097.256,71.302,
lora,roberta-base,rte,456,500,accuracy,0.6462093862815884,887042,0.7066137476531099,10.0,0.6462093862815884,0.8706070184707642,,0.6462093862815884,0.2665,1039.586,67.554,
lora,roberta-base,rte,789,500,accuracy,0.5595667870036101,887042,0.7066137476531099,10.0,0.5595667870036101,0.9551034569740295,,0.5595667870036101,0.2739,1011.289,65.716,
